Country,Year,Exports,Foreign Direct Investment,GDP,GDP Growth,GDP per Capita,Government Spending,Imports,Inflation Rate,Investment,Life Expectancy,Population,Unemployment Rate,exchange_rate,Trade_Balance,Inflation_diff,Unemployment_diff,GDP_growth_calc,Population_growth,Investment_growth,Investment_to_GDP,Trade_to_GDP,Inflation_volatility,Inflation_shock
Indonesia,1994,46896633113.5023,2109000000.0,176892143931.505,7.53997109551439,899.793982949817,14353349531.4127,44869883142.4274,8.53199829189143,52308223533.4953,65.041,196591828.0,35.0672005338812,2160.753675,2026749971.0748978,-0.1178580544632698,0.03578906824399963,0.1195230556294884,0.017002442479965074,0.17058977253678775,0.2957068774843372,0.011457546536717211,1.3633639769829942,0
Indonesia,1995,53185312942.0389,4346000000.0,202132028723.115,8.22000739903493,1011.22614205568,15825045991.9485,55882279823.789,9.42030300572996,61508394489.5315,65.263,199888057.0,36.3023505153847,2248.607975,-2696966881.750099,0.10411449738366096,0.035222371980053735,0.1426851652687482,0.016766866830293603,0.17588383497950222,0.30429811088368924,-0.013342600372573636,0.9477258066078081,0
Indonesia,1996,58717201041.7111,6194000000.0,227369679374.973,7.81818707670867,1118.92133024129,17204969474.4482,60116979037.698,7.97328096513346,71854186056.4402,65.465,203204348.0,37.5368685140699,2342.29629166667,-1399777995.9869003,-0.15360674064479019,0.03400655828503507,0.12485725696855843,0.016590741086647265,0.16820129435616327,0.3160236063751486,-0.006156396929594195,0.8895575676046147,0
Indonesia,1997,60106038403.5787,4677000000.0,215748998609.635,4.69987885390397,1044.60674832472,14763283406.1994,60700151259.0363,6.22615154887214,65388507014.8453,65.774,206536095.0,38.746630876665,2909.38,-594112855.4576035,-0.21912302148906848,0.03222864374372758,-0.05110919273529613,0.016396041879970014,-0.08998333147238247,0.3030767578817636,-0.002753722424142326,0.91858493974758,0
Indonesia,1998,50555726234.5501,-240800000.0,95445547872.715,-13.1267254923818,454.877800792123,5434199705.76814,41249712041.6119,58.4510413515526,26180242916.8428,65.942,209826788.0,39.9075139498987,10013.6225,9306014192.938202,8.387988855192729,0.029960877809710018,-0.5576083852634274,0.015932774365662317,-0.5996201150318505,0.2742950666672944,0.09750076771887346,1.3763797667006892,0
Indonesia,1999,49720260589.8075,-1865620963.49086,140001351215.462,0.79112608199847,657.268934667018,9246328959.29841,38402067922.3448,20.4778324428892,30994562178.8834,66.001,213004668.0,40.9953940804992,7855.15,11318192667.4627,-0.6496583812814267,0.02726003258349463,0.4668190851831673,0.015145253998741115,0.1838913136647542,0.22138759311817488,0.08084345307527788,22.575578274046457,0
Indonesia,2000,67621169165.827,-4550355285.71428,165021012077.81,4.9200677470169,763.711124950924,10779164212.8096,50264686469.7912,3.68862037056682,36710074220.2173,66.292,216077790.0,41.9861540600656,8421.775,17356482696.035805,-0.8198725191812148,0.02416759252566103,0.17871013847461192,0.014427486631419795,0.18440370308659748,0.22245696931556766,0.10517741030367667,21.930017574868717,0
Indonesia,2001,62625875833.9076,-2977391857.14286,160446947784.909,3.64346644721492,732.307093405708,11053285490.1216,49355195402.1429,11.5001160550887,36163564857.2415,66.583,219097902.0,42.9018895186157,10260.85,13270680431.764702,2.1177282831416746,0.0218104153393055,-0.027718071991609472,0.013976966350868425,-0.014887176737845453,0.2253926631606694,0.08271070665398404,22.78764188653041,0
Indonesia,2002,63956798804.501,145085548.722222,195660611165.183,4.49947539085764,881.002913569131,14199987339.966,51638437160.6839,11.9001200338414,41879334582.2533,66.954,222088495.0,43.7824069030376,9311.19166666667,12318361643.8171,0.03478260365691721,0.020523976782883535,0.21947231696473612,0.013649573878621535,0.1580532712296272,0.2140407020751735,0.06295780009302711,22.398188007353188,0
Indonesia,2003,71553141044.9888,-596923827.786241,234772463823.808,4.78036912167654,1043.2105838671,19085795197.2016,54323622341.4892,6.75731256333564,60098225365.0078,67.134,225048008.0,44.6301761521872,8577.13333333334,17229518703.499603,-0.4321643358117997,0.019363239920251685,0.19989640442043544,0.013325827616599506,0.43503295753115645,0.25598498386978763,0.07338815814630632,21.65286053453123,0
